id,name,location,pincode,O_pos,O_neg,A_pos,A_neg,B_pos,B_neg,AB_pos,AB_neg,Total_Units,Temperature,Weather,Rain_mm,Size,Altitude
157,Chord Road Hospital Pvt Ltd,"12.998121, 77.540484",560079,233,107,49,25,46,88,7,23,578,30.5,Partly cloudy,0.0,Large,925.0
158,Pristline Hospital,"12.997893, 77.543613",560079,55,113,31,47,46,131,11,46,480,30.4,Partly cloudy,0.0,Large,932.0
159,Manipal Northside Hospital,"13.001128, 77.563929",560003,97,213,133,198,122,294,105,378,1540,30.9,Partly cloudy,0.0,Big,919.0
160,Mallya Audikesh Diagnostics Center,"12.981505, 77.601194",560001,305,406,306,164,154,275,225,242,2077,30.8,Partly cloudy,0.0,Big,927.0
161,Mallige Medical Centre,"12.985247, 77.580385",560001,286,0,14,0,25,0,8,0,333,30.9,Partly cloudy,0.0,Big,923.0
162,Government Maternity Hospital,"12.998860, 77.581742",Unknown,116,186,30,181,37,195,237,342,1324,30.9,Partly cloudy,0.0,Medium,915.0
163,Soujanya Clinic,"12.968119, 77.543250",Unknown,15,14,1,0,0,0,0,10,40,30.8,Partly cloudy,0.0,Small,876.0
164,Hospital,"13.004364, 77.565296",Unknown,52,0,25,0,60,11,9,0,157,30.8,Partly cloudy,0.0,Large,940.0
165,Suprabha Hospital,"13.007938, 77.546906",Unknown,230,215,269,290,360,207,297,346,2214,30.4,Partly cloudy,0.0,Large,932.0
166,Sangolli Nursing Home,"13.008356, 77.546927",Unknown,19,2,8,340,50,21,42,94,576,30.5,Partly cloudy,0.0,Medium,929.0
167,Diacon Hospital,"13.003768, 77.549834",560010,54,149,115,0,163,104,18,68,671,30.5,Partly cloudy,0.0,Large,918.0
168,Namratha Hospital,"13.004786, 77.543073",Unknown,54,0,230,0,45,2,5,0,336,30.6,Partly cloudy,0.0,Large,903.0
170,Fortis Hospital,"13.002241, 77.549088",560086,47,0,29,0,229,0,5,0,310,30.6,Partly cloudy,0.0,Large,914.0
171,Citi Hospital,"12.995651, 77.551070",560010,55,114,52,88,47,113,7,134,610,30.6,Partly cloudy,0.0,Large,913.0
172,"Vasan Eye Care Hospital, Rajaji Nagar","12.999522, 77.550533",560010,37,128,20,195,31,146,4,92,653,30.5,Partly cloudy,0.0,Big,923.0
173,Ananya Hospital,"12.999821, 77.550450",560010,51,0,30,0,42,0,7,0,130,30.5,Partly cloudy,0.0,Large,923.0
174,Baptist,"12.997091, 77.571977",Unknown,31,1,36,0,24,0,21,2,115,30.9,Partly cloudy,0.0,Big,915.0
175,Shivakrupa Hospital,"12.973967, 77.547914",Unknown,72,12,31,46,48,47,8,133,397,30.8,Partly cloudy,0.0,Large,870.0
176,"Sri Maruthi hospital, Sheshadripuram","12.992644, 77.574205",560020,248,22,20,18,31,29,190,24,582,31.0,Partly cloudy,0.0,Big,902.0
177,"Gayathri Hospital, Bengaluru Urban","12.974405, 77.542682",560040,51,0,36,0,44,0,4,0,135,30.8,Partly cloudy,0.0,Large,883.0
178,Cloud Nine Hospital,"13.007874, 77.562532",Unknown,48,75,32,29,605,21,87,6,903,30.8,Partly cloudy,0.0,Large,938.0
179,"Nayak Hospital, Gayathri Nagar","12.999386, 77.560640",560021,97,110,33,141,67,193,52,252,945,30.5,Partly cloudy,0.0,Large,915.0
180,Shanbhag Hospital,"12.985688, 77.543542",560079,52,0,31,0,42,0,7,0,132,30.7,Partly cloudy,0.0,Large,893.0
181,Trupti Nursing Home,"12.994657, 77.539754",560079,14,0,20,11,8,2,0,0,55,30.5,Partly cloudy,0.0,Medium,923.0
182,Krupa Medical center,"13.000431, 77.541166",Unknown,309,229,30,141,47,90,37,120,1003,30.5,Partly cloudy,0.0,Large,920.0
183,Penta Care Ayurvedic Hospital,"12.973689, 77.536948",560040,35,0,17,0,29,0,2,8,91,30.7,Partly cloudy,0.0,Big,893.0
184,Shreya Poly Clinic,"12.972913, 77.539472",560040,24,0,1,0,13,0,0,0,38,30.7,Partly cloudy,0.0,Medium,897.0
185,Pragathi Ayurvedic Center,"12.984370, 77.555666",Unknown,33,0,20,0,23,0,0,0,76,30.7,Partly cloudy,0.0,Big,899.0
186,Leela Hospital and Diagnostic Center,"13.000267, 77.569489",560003,68,0,27,0,44,0,8,0,147,30.8,Partly cloudy,0.0,Large,931.0
187,Dr. Rajkumar Blood Bank,"12.968031, 77.587822",Unknown,247,249,239,204,750,100,232,314,2335,30.9,Partly cloudy,0.0,Big,916.0
188,"Shifa Hospital, Bengaluru Urban","12.990011, 77.598811",Unknown,49,202,38,224,41,153,350,54,1111,30.9,Partly cloudy,0.0,Large,920.0
189,Hospital,"12.976705, 77.542417",Unknown,50,0,27,0,47,0,24,6,154,30.8,Partly cloudy,0.0,Large,881.0
